Ticker,Date,article_count,neutral_count,positive_count,negative_count,neutral_avg,positive_avg,negative_avg,acquisition_avg,earnings_avg,production_avg,exploration_avg,green_energy_avg,Returns,Returns (no NaN),Returns Next Day,Returns Next Day(no NaN),Neu Ratio,Pos Ratio,Neg Ratio
BP,2019-02-20,1,1,0,0,0.3607581177105506,0.2949525673563281,0.3442893413205941,0.7362980643908182,0.47742466628551483,0.3917348434527715,0.2805248474081357,0.1721569045136372,0.0023596477721634646,0.0023596477721634646,-0.0034817247729547196,-0.0034817247729547196,1.0,0.0,0.0
BP,2019-05-06,1,0,1,0,0.03786911318699513,0.6268814305464426,0.3352494531621535,0.859433670838674,0.4634588261445363,0.3355080783367157,0.271462599436442,0.11936263243357337,-0.0034817247729547196,-0.0034817247729547196,-0.009590766289301556,-0.009590766289301556,0.0,1.0,0.0
BP,2019-05-22,2,0,0,2,0.08873208425939078,0.2080693058669567,0.7031986266374588,0.5528886318206787,0.47042691707611084,0.33184487000107765,0.2400190643966198,0.19693642109632487,-0.009590766289301556,-0.009590766289301556,-0.02361818433908791,-0.02361818433908791,0.0,0.0,1.0
BP,2019-05-23,1,0,0,1,0.1813917066901922,0.01775936037302015,0.8008489906787872,0.34429285302758217,0.28883084654808044,0.22791068162769076,0.16384429205209014,0.0847717304714024,-0.02361818433908791,-0.02361818433908791,-0.007555334941868774,-0.007555334941868774,0.0,0.0,1.0
BP,2019-05-31,1,0,0,1,0.13550350069999695,0.02562134526669975,0.8388751745223999,0.2783007323741913,0.24608122557401654,0.21828982234001154,0.18685017526149744,0.13421147316694254,-0.007555334941868774,-0.007555334941868774,0.006178688586537584,0.006178688586537584,0.0,0.0,1.0
BP,2019-06-11,2,1,0,1,0.27973235212266445,0.08029323280788953,0.6399743780493736,0.6705354601144791,0.5333489701151848,0.434336606413126,0.34857597202062607,0.1775265140458941,0.006178688586537584,0.006178688586537584,-0.030231273592025154,-0.030231273592025154,0.5,0.0,0.5
BP,2019-06-12,2,2,0,0,0.5889798467978835,0.16820688638836143,0.2428132658824324,0.6208646353334188,0.5577505030669272,0.5090984413400292,0.3522716340376064,0.30166785197798157,-0.030231273592025154,-0.030231273592025154,,-0.0016954986430983698,1.0,0.0,0.0
BP,2019-06-22,1,0,0,1,0.059458360075950595,0.031320565380156,0.9092211127281189,0.9559003114700317,0.792643129825592,0.34082840383052826,0.2942098826169967,0.1525822728872299,,-0.0016954986430983698,-0.0016954986430983698,-0.0016954986430983698,0.0,0.0,1.0
BP,2019-07-12,1,0,1,0,0.038079703847567196,0.7863617539405823,0.17555853724479675,0.5841086010138193,0.38551220297813416,0.30707020560900367,0.2555809368689855,0.19844190279642737,-0.0016954986430983698,-0.0016954986430983698,,-0.011201566001662888,0.0,1.0,0.0
BP,2019-07-13,2,0,0,2,0.14213608438149092,0.13559116981923577,0.7222727499902248,0.7336194291710854,0.577317314222455,0.4874835964292288,0.4135583471506834,0.2485454343259334,,-0.011201566001662888,-0.011201566001662888,-0.011201566001662888,0.0,0.0,1.0
BP,2019-07-18,1,0,0,1,0.0530798695981502,0.3900402542203665,0.5568798705935478,0.7129926085472107,0.6036009788513184,0.4801323264837265,0.3399962037801742,0.20674721896648407,-0.011201566001662888,-0.011201566001662888,0.0030584707722616233,0.0030584707722616233,0.0,0.0,1.0
BP,2019-07-22,1,0,0,1,0.27610390447080135,0.0269862916320562,0.6969098299741745,0.5635607093572617,0.36281644925475115,0.32506873458623886,0.3060029940679669,0.07531565055251116,0.0030584707722616233,0.0030584707722616233,0.0030497804221634173,0.0030497804221634173,0.0,0.0,1.0
BP,2019-07-23,1,0,0,1,0.33349620364606375,0.0162900574505329,0.6502137929201126,0.5089717656373978,0.3658592691645026,0.31289407983422274,0.2795822862535715,0.0637966741342097,0.0030497804221634173,0.0030497804221634173,0.002821975529109899,0.002821975529109899,0.0,0.0,1.0
BP,2019-07-29,1,0,0,1,0.0591011084616184,0.4451764188706875,0.4957224826018016,0.4995078643163045,0.41610507170359295,0.356639951467514,0.25761573513348895,0.0238017830997705,0.002821975529109899,0.002821975529109899,-0.006251710709878511,-0.006251710709878511,0.0,0.0,1.0
BP,2019-07-31,1,0,1,0,0.020989918770889366,0.6579360341032346,0.3210740660627683,0.858510692914327,0.48779192566871643,0.37611502905686695,0.3286255151033401,0.1995795542995135,-0.006251710709878511,-0.006251710709878511,-0.0013271030965915642,-0.0013271030965915642,0.0,1.0,0.0
BP,2019-08-06,3,1,0,2,0.601569626480341,0.008229896736641667,0.39020045349995297,0.497141753633817,0.39999106526374817,0.35619691759347916,0.26311401029427844,0.1541869727273782,-0.0013271030965915642,-0.0013271030965915642,-0.0015956371161027771,-0.0015956371161027771,0.3333333333333333,0.0,0.6666666666666666
BP,2019-08-07,1,1,0,0,0.869522213935852,0.0069305780343711,0.1235472187399864,0.5849547386169434,0.509709358215332,0.4457806050777435,0.3379462957382202,0.1493123173713684,-0.0015956371161027771,-0.0015956371161027771,-0.004346654897607993,-0.004346654897607993,1.0,0.0,0.0
BP,2019-08-12,1,0,0,1,0.12877300381660461,0.02647331636399025,0.8447537124156952,0.660767063498497,0.48427075147628784,0.4214901849627495,0.18865053728222847,0.15605088323354716,-0.004346654897607993,-0.004346654897607993,0.015006910353156488,0.015006910353156488,0.0,0.0,1.0
BP,2019-08-13,2,1,0,1,0.38072329573333263,0.017409952357411326,0.6018667109310627,0.7910005897283554,0.6532886028289795,0.5606009513139725,0.4142138175666332,0.16763282660394901,0.015006910353156488,0.015006910353156488,-0.02526865004932688,-0.02526865004932688,0.5,0.0,0.5
BP,2019-08-14,2,1,0,1,0.48882453236728907,0.0271544945426285,0.4840209558606148,0.5285819061100483,0.4772994965314865,0.3605724684894085,0.23444361053407192,0.09343014564365147,-0.02526865004932688,-0.02526865004932688,-0.005791750763458392,-0.005791750763458392,0.5,0.0,0.5
BP,2019-08-15,1,1,0,0,0.49776150286197657,0.02110933419317,0.48112915083765984,0.6605680733919143,0.5157209634780884,0.4527546465396881,0.1940746866166591,0.120442708954215,-0.005791750763458392,-0.005791750763458392,,0.015431043578619574,1.0,0.0,0.0
BP,2019-08-17,1,0,0,1,0.35131315886974335,0.00993973761796945,0.6387471407651901,0.974790096282959,0.7008181214332581,0.5039258450269699,0.4460526406764984,0.1893208250403404,,0.015431043578619574,0.015431043578619574,0.015431043578619574,0.0,0.0,1.0
BP,2019-08-19,2,1,0,1,0.26914441026747227,0.2503896865528077,0.4804658889770508,0.7931886464357376,0.469171978533268,0.3737771213054657,0.33833831921219826,0.2152128852903843,0.015431043578619574,0.015431043578619574,0.0024857228838703893,0.0024857228838703893,0.5,0.0,0.5
